Strike,Call_OI,Put_OI,Call_Vol,Put_Vol,IV,Gamma_1Day,Gamma_1Min,GEX_Shares_1Day,GEX_Shares_1Min,GEX_Dollar_1Day,GEX_Dollar_1Min
400.0,6,10122,0,0,3.329501,0.000009,0.000000,-8.98,0.00,-46065.89,0.00
405.0,0,17012,0,0,3.437531,0.000015,0.000000,-25.94,0.00,-133091.72,0.00
410.0,0,669,0,0,3.195532,0.000010,0.000000,-0.64,0.00,-3295.42,0.00
415.0,0,1684,0,0,3.129615,0.000010,0.000000,-1.68,0.00,-8629.00,0.00
420.0,0,1004,0,0,3.064614,0.000010,0.000000,-1.04,0.00,-5356.37,0.00
425.0,0,857,0,0,3.162879,0.000018,0.000000,-1.53,0.00,-7854.35,0.00
430.0,0,1656,0,0,2.936443,0.000011,0.000000,-1.87,0.00,-9576.99,0.00
435.0,0,23,0,0,2.873578,0.000012,0.000000,-0.03,0.00,-138.65,0.00
440.0,0,42,0,0,2.811323,0.000012,0.000000,-0.05,0.00,-263.97,0.00
445.0,0,42,0,0,2.749679,0.000013,0.000000,-0.05,0.00,-275.30,0.00
450.0,0,70275,0,0,2.688950,0.000013,0.000000,-93.76,0.00,-481090.01,0.00
455.0,0,475,0,0,2.628526,0.000014,0.000000,-0.66,0.00,-3393.91,0.00
460.0,0,1851,0,0,2.569018,0.000015,0.000000,-2.69,0.00,-13826.83,0.00
465.0,0,219,0,0,2.509815,0.000015,0.000000,-0.33,0.00,-1709.34,0.00
470.0,0,2075,0,0,2.587023,0.000026,0.000000,-5.43,0.00,-27850.42,0.00
475.0,1,773,0,0,2.393241,0.000017,0.000000,-1.28,0.00,-6592.66,0.00
480.0,0,8925,0,0,2.335869,0.000017,0.000000,-15.56,0.00,-79823.06,0.00
485.0,2,7063,0,0,2.279107,0.000018,0.000000,-12.90,0.00,-66204.47,0.00
490.0,0,1551,0,0,2.222651,0.000019,0.000000,-2.97,0.00,-15241.62,0.00
495.0,0,427,0,0,2.166805,0.000020,0.000000,-0.86,0.00,-4402.96,0.00
500.0,1,471,0,0,2.111569,0.000021,0.000000,-0.99,0.00,-5091.72,0.00
505.0,8,420,0,0,2.433981,0.000085,0.000000,-3.49,0.00,-17908.10,0.00
510.0,0,533,0,0,2.115689,0.000038,0.000000,-2.04,0.00,-10450.78,0.00
515.0,0,1768,0,0,2.059080,0.000040,0.000000,-7.11,0.00,-36478.17,0.00
520.0,0,2278,0,0,1.894899,0.000026,0.000000,-5.90,0.00,-30262.52,0.00
525.0,0,650,0,0,1.841799,0.000027,0.000000,-1.77,0.00,-9105.57,0.00
530.0,0,2448,0,0,1.789310,0.000029,0.000000,-7.06,0.00,-36233.64,0.00
535.0,0,1501,0,0,1.737126,0.000030,0.000000,-4.58,0.00,-23486.93,0.00
540.0,1,1514,0,0,1.685552,0.000032,0.000000,-4.89,0.00,-25086.00,0.00
545.0,3,559,0,0,1.633978,0.000034,0.000000,-1.90,0.00,-9759.27,0.00
550.0,5,1256,0,0,1.583015,0.000036,0.000000,-4.54,0.00,-23306.28,0.00
555.0,0,449,0,0,1.532662,0.000039,0.000000,-1.74,0.00,-8903.64,0.00
560.0,4,1833,0,0,1.482309,0.000041,0.000000,-7.52,0.00,-38580.84,0.00
565.0,0,939,0,0,1.432566,0.000044,0.000000,-4.12,0.00,-21137.45,0.00
570.0,9,1972,0,0,1.382976,0.000047,0.000000,-9.20,0.00,-47182.29,0.00
575.0,3,2123,0,0,1.333844,0.000050,0.000000,-10.63,0.00,-54554.76,0.00
580.0,2,1765,0,0,1.284864,0.000054,0.000000,-9.47,0.00,-48614.37,0.00
585.0,0,931,0,0,1.236342,0.000058,0.000000,-5.38,0.00,-27596.24,0.00
590.0,1,1722,0,0,1.188126,0.000062,0.000000,-10.71,0.00,-54967.53,0.00
595.0,40,2189,0,0,1.209640,0.000109,0.000000,-23.37,0.00,-119890.12,0.00
600.0,12,3751,0,0,1.092607,0.000073,0.000000,-27.25,0.00,-139812.52,0.00
605.0,1,1078,0,0,1.045154,0.000079,0.000000,-8.52,0.00,-43732.23,0.00
610.0,47,1353,0,0,0.998005,0.000086,0.000000,-11.26,0.00,-57799.03,0.00
615.0,3,1176,0,0,0.951161,0.000094,0.000000,-11.07,0.00,-56815.78,0.00
620.0,0,1948,0,0,0.904470,0.000104,0.000000,-20.19,0.00,-103606.37,0.00
625.0,2,2094,0,0,0.931936,0.000213,0.000000,-44.50,0.00,-228344.23,0.00
630.0,7,1660,0,0,0.882269,0.000235,0.000000,-38.89,0.00,-199550.32,0.00
635.0,0,6492,0,0,0.832832,0.000262,0.000000,-169.90,0.00,-871743.56,0.00
640.0,9,2440,0,0,0.783547,0.000293,0.000000,-71.19,0.00,-365270.37,0.00
645.0,13,21979,0,0,0.718469,0.000285,0.000000,-626.72,0.00,-3215628.22,0.00
650.0,104,11287,0,0,0.670329,0.000324,0.000000,-362.55,0.00,-1860181.53,0.00
655.0,18,9079,0,0,0.636379,0.000429,0.000000,-388.75,0.00,-1994641.74,0.00
658.0,0,997,0,0,0.607082,0.000468,0.000000,-46.66,0.00,-239420.44,0.00
659.0,0,1047,0,0,0.608837,0.000541,0.000000,-56.62,0.00,-290513.03,0.00
660.0,55,6847,0,0,0.598881,0.000557,0.000000,-378.43,0.00,-1941657.19,0.00
661.0,0,733,0,0,0.588963,0.000575,0.000000,-42.11,0.00,-216076.57,0.00
662.0,0,794,0,0,0.579007,0.000593,0.000000,-47.05,0.00,-241384.69,0.00
663.0,0,935,0,0,0.569089,0.000612,0.000000,-57.19,0.00,-293414.69,0.00
664.0,0,441,0,0,0.559171,0.000632,0.000000,-27.86,0.00,-142932.83,0.00
665.0,77,4971,0,0,0.558599,0.000717,0.000000,-351.10,0.00,-1801455.74,0.00
666.0,0,332,0,0,0.556844,0.000804,0.000000,-26.69,0.00,-136935.71,0.00
667.0,7,1626,0,0,0.546659,0.000831,0.000000,-134.61,0.00,-690675.00,0.00
668.0,77,1331,0,0,0.528349,0.000794,0.000000,-99.53,0.00,-510656.52,0.00
669.0,6,1242,0,0,0.526232,0.000891,0.000000,-110.10,0.00,-564903.01,0.00
670.0,130,10917,0,0,0.516027,0.000923,0.000000,-995.71,0.00,-5108851.32,0.00
671.0,12,1129,0,0,0.512842,0.001026,0.000000,-114.60,0.00,-588002.97,0.00
672.0,97,1821,0,0,0.508913,0.001132,0.000000,-195.12,0.00,-1001151.89,0.00
673.0,10,843,0,0,0.504336,0.001241,0.000000,-103.38,0.00,-530412.51,0.00
674.0,34,1710,0,0,0.488009,0.001221,0.000000,-204.60,0.00,-1049787.99,0.00
675.0,87,9148,0,0,0.488543,0.001408,0.000000,-1275.58,0.00,-6544819.65,0.00
676.0,136,2154,0,0,0.477881,0.001465,0.000000,-295.58,0.00,-1516585.24,0.00
677.0,4,2182,0,0,0.467200,0.001525,0.000000,-332.20,0.00,-1704456.59,0.00
678.0,56,1112,0,0,0.465808,0.001731,0.000000,-182.75,0.00,-937676.62,0.00
679.0,37,975,0,0,0.454936,0.001805,0.000000,-169.32,0.00,-868775.63,0.00
680.0,333,7496,0,0,0.452171,0.002024,0.000000,-1450.13,0.00,-7440386.20,0.00
681.0,127,5742,0,0,0.444856,0.002184,0.000000,-1226.39,0.00,-6292454.75,0.00
682.0,175,1527,0,0,0.437236,0.002353,0.000000,-318.19,0.00,-1632579.01,0.00
683.0,50,1825,0,0,0.432545,0.002600,0.000000,-461.52,0.00,-2367990.27,0.00
684.0,44,956,0,0,0.427175,0.002858,0.000000,-260.65,0.00,-1337340.40,0.00
685.0,214,8178,0,0,0.421196,0.003129,0.000000,-2491.65,0.00,-12784281.74,0.00
686.0,9,1802,0,0,0.417162,0.003475,0.000000,-623.13,0.00,-3197180.39,0.00
687.0,81,1032,0,0,0.412270,0.003836,0.000000,-364.83,0.00,-1871892.87,0.00
688.0,63,3968,0,0,0.408689,0.004270,0.000000,-1667.50,0.00,-8555688.18,0.00
689.0,46,3397,0,0,0.404130,0.004721,0.000000,-1581.94,0.00,-8116685.54,0.00
690.0,611,7529,0,0,0.400435,0.005242,0.000000,-3626.49,0.00,-18607011.66,0.00
691.0,232,3254,0,0,0.397278,0.005830,0.000000,-1761.95,0.00,-9040299.66,0.00
692.0,328,1772,0,0,0.390155,0.006354,0.000000,-917.48,0.00,-4707463.97,0.00
693.0,352,6440,0,0,0.390312,0.007156,0.000000,-4356.38,0.00,-22351983.36,0.00
694.0,156,1772,0,0,0.388686,0.007964,0.000000,-1286.94,0.00,-6603112.66,0.00
695.0,389,13411,0,0,0.384552,0.008761,0.000000,-11408.42,0.00,-58534970.14,0.00
696.0,294,4928,0,0,0.381281,0.009649,0.000000,-4471.45,0.00,-22942394.38,0.00
697.0,63,7545,0,0,0.378544,0.010619,0.000000,-7944.90,0.00,-40764123.56,0.00
698.0,172,2449,0,0,0.376079,0.011660,0.000000,-2654.96,0.00,-13622215.33,0.00
699.0,331,2288,0,0,0.372941,0.012750,0.000000,-2495.22,0.00,-12802621.48,0.00
700.0,1666,21425,0,0,0.369143,0.013895,0.000000,-27454.45,0.00,-140864838.14,0.00
701.0,458,1809,0,0,0.365336,0.015107,0.000000,-2040.94,0.00,-10471789.84,0.00
702.0,499,1995,0,0,0.362592,0.016392,0.000000,-2452.18,0.00,-12581783.52,0.00
703.0,332,2168,0,0,0.357773,0.017723,0.000000,-3253.95,-0.00,-16695533.16,-0.00
704.0,333,1639,0,0,0.353758,0.019117,0.000000,-2496.70,-0.00,-12810199.51,-0.00
